RefSeq_ID,SRA_ID,Run_ID
GCF_905335775.2,ERS5845207,ERR5422658
GCF_905335775.2,ERS5845207,ERR5422659
GCF_019344915.1,SRS9429627,SRR15074881
GCF_014103835.1,SRS6792202,SRR11948896
GCF_020564685.1,SRS10583173,SRR16352010
GCF_000986935.1,SRS881069,SRR1925730
GCF_002836075.1,SRS2729659,SRR6339915
GCF_012241635.1,SRS4698560,SRR8984899
GCF_002836795.1,SRS2729695,SRR6339868
GCF_000724285.2,SRS570759,SRR1190271
GCF_021390255.1,SRS13590994,SRR19858887
GCF_014103105.1,SRS6792657,SRR11949443
GCF_014103885.1,SRS6792587,SRR11949167
GCF_002087975.1,SRS2062318,SRR5364302
GCF_905335675.2,ERS5845254,ERR5422844
GCF_905335675.2,ERS5845254,ERR5422845
GCF_905335675.2,ERS5845254,ERR5422846
GCF_905335675.2,ERS5845254,ERR5422847
GCF_000508565.1,SRS470507,SRR952674
GCF_003368005.1,SRS3600980,SRR7611051
GCF_003790375.1,SRS4034438,SRR8179506
GCF_002738145.1,SRS2408948,SRR5902258
GCF_002738105.1,SRS2408970,SRR5902281
GCF_004309715.1,SRS4327998,SRR8530444
GCF_003367985.1,SRS3600979,SRR7611049
GCF_002738155.1,SRS2408971,SRR5902283
GCF_003045745.2,SRS2514269,SRR6037789
GCF_014105665.1,SRS6792312,SRR11949098
GCF_003112375.2,SRS3758173,SRR7811295
GCF_012275775.1,SRS6472020,SRR11535197
GCF_016985475.1,SRS8226047,SRR13674414
GCF_001705105.1,SRS837320,SRR1790434
GCF_001705105.1,SRS837320,SRR4031255
GCF_018320725.1,SRS9100704,SRR14690701
GCF_002863625.1,SRS2729676,SRR6339888
GCF_014101335.1,SRS6792103,SRR11948683
GCF_000724345.2,SRS570685,SRR1190182
GCF_000724325.2,SRS570686,SRR1190235
GCF_000724305.2,SRS570728,SRR1190247
GCF_001022195.1,SRS1182717,SRR2965655
GCF_001022195.1,SRS1182717,SRR5713995
GCF_000986995.1,SRS880754,SRR1925409
GCF_020522885.1,DRS202755,DRR316760
GCF_014101245.1,SRS6792496,SRR11949257
GCF_014595565.2,SRS7093344,SRR12328851
GCF_013265685.1,SRS6424484,SRR11478637
GCF_014596145.2,SRS7111381,SRR12349537
GCF_014596145.2,SRS7111381,SRR12357414
GCF_014104115.1,SRS6792797,SRR11949301
GCF_002740875.1,SRS2408947,SRR5902259
GCF_014103365.1,SRS6792646,SRR11949451
GCF_003046465.1,SRS5417566,SRR10158671
GCF_002967055.1,SRS3440292,SRR7401768
GCF_019836425.2,SRS6838548,SRR12011096
GCF_034961445.1,DRS334517,DRR414673
GCF_003194535.1,SRS2514202,SRR6037664
GCF_003948305.2,SRS3954075,SRR8080872
GCF_016888585.1,SRS7822563,SRR13182598
GCF_016888585.1,SRS7822563,SRR13182599
GCF_014103355.1,SRS6792645,SRR11949452
GCF_001549575.1,SRS1247747,SRR3100687
GCF_014103335.1,SRS6792651,SRR11949450
GCF_009725015.1,SRS5417840,SRR10158963
GCF_014103245.1,SRS6792222,SRR11948875
GCF_001672535.1,SRS942248,SRR2034583
GCF_002738185.1,SRS2408967,SRR5902279
GCF_014596165.2,SRS7118397,SRR12357413
GCF_018904795.1,SRS6823724,SRR11994451
GCF_002887545.1,SRS14966723,SRR21403917
GCF_002803655.2,SRS2711178,SRR6318595
GCF_002837985.2,SRS2714137,SRR6322625
GCF_004328315.1,SRS4302874,SRR8501291
GCF_004328355.1,SRS4302876,SRR8501289
GCF_000802605.1,SRS1319008,SRR3199687
GCF_002837955.2,SRS2714143,SRR6322619
GCF_000802545.1,SRS1318990,SRR3199683
GCF_001618125.1,SRS908473,SRR1972593
GCF_000802645.1,SRS1318965,SRR3199634
GCF_000802625.1,SRS1318988,SRR3199666
GCF_002088055.1,SRS2062274,SRR5364258
GCF_000877985.1,SRS836419,SRR1786280
GCF_021608775.2,SRS6581703,SRR11665884
GCF_903993135.2,ERS4842916,ERR4372587
GCF_903993135.2,ERS4842916,ERR4372588
GCF_903993135.2,ERS4842916,ERR4372589
GCF_903993135.2,ERS4842916,ERR4372590
GCF_903993195.2,ERS4842932,ERR4372651
GCF_903993195.2,ERS4842932,ERR4372652
GCF_903993195.2,ERS4842932,ERR4372653
GCF_903993195.2,ERS4842932,ERR4372654
GCF_002088085.1,SRS2062317,SRR5364301
GCF_014103065.1,SRS6792071,SRR11948715
GCF_903993125.2,ERS4842913,ERR4372575
GCF_903993125.2,ERS4842913,ERR4372576
GCF_903993125.2,ERS4842913,ERR4372577
GCF_903993125.2,ERS4842913,ERR4372578
GCF_903993045.2,ERS4842914,ERR4372579
GCF_903993045.2,ERS4842914,ERR4372580
GCF_903993045.2,ERS4842914,ERR4372581
GCF_903993045.2,ERS4842914,ERR4372582
GCF_002110695.1,SRS1716795,SRR4300057
GCF_002110885.1,SRS1716792,SRR4300053
GCF_002110815.1,SRS1716800,SRR4300063
GCF_002110705.1,SRS1716798,SRR4300059
GCF_002110775.1,SRS1716789,SRR4300050
GCF_002110825.1,SRS1716788,SRR4300051
GCF_002110905.1,SRS1716799,SRR4300061
GCF_002111525.1,SRS1716790,SRR4300052
GCF_014104305.1,SRS6791995,SRR11948791
GCF_014104245.1,SRS6791998,SRR11948788
GCF_002838005.2,SRS2714145,SRR6322626
GCF_000877855.1,SRS836394,SRR1786145
GCF_011065295.1,SRS4030589,SRR8174962
GCF_022393055.1,SRS7260202,SRR12518032
GCF_002110835.1,SRS1716791,SRR4300054
GCF_014103925.1,SRS6792574,SRR11949180
GCF_003413485.1,SRS1364962,SRR3305378
GCF_002110765.1,SRS1716787,SRR4300049
GCF_011065285.1,SRS4030591,SRR8174960
GCF_022393035.1,SRS7260175,SRR12518059
GCF_000878035.1,SRS836424,SRR1786287
GCF_002837895.2,SRS2714138,SRR6322624
GCF_022097065.1,SRS7884247,SRR13255668
GCF_004328185.1,SRS4302882,SRR8501283
GCF_004328305.1,SRS4302886,SRR8501279
GCF_004328335.1,SRS4302881,SRR8501284
GCF_000508705.1,SRS470507,SRR952674
GCF_000877975.1,SRS836417,SRR1786257
GCF_905331155.2,ERS5752980,ERR5319763
GCF_905331155.2,ERS5752980,ERR5319764
GCF_905331155.2,ERS5752980,ERR5319765
GCF_905331155.2,ERS5752980,ERR5319766
GCF_905330995.2,ERS5752965,ERR5319703
GCF_905330995.2,ERS5752965,ERR5319704
GCF_905330995.2,ERS5752965,ERR5319705
GCF_905330995.2,ERS5752965,ERR5319706
GCF_007826925.1,SRS5017082,SRR9588286
GCF_905332385.2,ERS5753004,ERR5319859
GCF_905332385.2,ERS5753004,ERR5319860
GCF_905332385.2,ERS5753004,ERR5319861
GCF_905332385.2,ERS5753004,ERR5319862
GCF_019721135.1,SRS9707283,SRR15372717
GCF_002838025.2,SRS2714141,SRR6322621
GCF_014172355.1,SRS5946717,SRR10834218
GCF_014170135.1,SRS5946956,SRR10834229
GCF_905330715.2,ERS5752935,ERR5319583
GCF_905330715.2,ERS5752935,ERR5319584
GCF_905330715.2,ERS5752935,ERR5319585
GCF_905330715.2,ERS5752935,ERR5319586
GCF_016888685.1,SRS7822818,SRR13182989
GCF_905330655.2,ERS5752927,ERR5319551
GCF_905330655.2,ERS5752927,ERR5319552
GCF_905330655.2,ERS5752927,ERR5319553
GCF_905330655.2,ERS5752927,ERR5319554
GCF_018390445.1,SRS10906408,SRR16764781
GCF_004208505.1,SRS4337677,SRR8543812
GCF_018966885.2,SRS9149407,SRR14750049
GCF_004193155.1,SRS1324833,SRR3205748
GCF_005869145.1,SRS4786041,SRR9087224
GCF_016888625.1,SRS7822862,SRR13183042
GCF_004328115.1,SRS4302878,SRR8501287
GCF_020882935.1,SRS10833290,SRR16690170
GCF_015726895.1,SRS8001588,SRR13399484
GCF_001683595.1,SRS1476334,SRR3615376
GCF_004328065.1,SRS4302880,SRR8501285
GCF_005145665.1,SRS4776019,SRR9076754
GCF_001683585.1,SRS1476335,SRR3615377
GCF_004328105.1,SRS4302879,SRR8501286
GCF_004208495.1,SRS4337676,SRR8543813
GCF_002837905.2,SRS2714144,SRR6322618
GCF_002837945.2,SRS2714142,SRR6322620
GCF_000877845.1,SRS836398,SRR1786256
GCF_003346855.2,SRS3769836,SRR7824862
GCF_018967115.1,SRS15254286,SRR21728569
GCF_018967155.1,SRS15254287,SRR21728568
GCF_018967175.1,SRS15254289,SRR21728566
GCF_018967345.1,SRS15254299,SRR21728556
GCF_018986495.1,SRS15254306,SRR21728549
GCF_018986515.1,SRS15254307,SRR21728548
GCF_018986535.1,SRS15254285,SRR21728570
GCF_018967285.1,SRS15254302,SRR21728553
GCF_018967295.1,SRS15254295,SRR21728560
GCF_018986415.1,SRS15254293,SRR21728562
GCF_018986455.1,SRS15254305,SRR21728550
GCF_018986675.1,SRS15254304,SRR21728551
GCF_018967245.1,SRS15254294,SRR21728561
GCF_018678095.1,SRS15254281,SRR21728574
GCF_002838015.2,SRS2714140,SRR6322622
GCF_000878025.1,SRS836423,SRR1786285
GCF_005145755.1,SRS4775899,SRR9076634
GCF_022188685.1,SRS8958654,SRR14517816
GCF_018967325.1,SRS15254300,SRR21728555
GCF_022188665.1,SRS8958766,SRR14517928
GCF_005144555.1,SRS4775862,SRR9076596
GCF_029688935.1,SRS17232419,SRR24076173
GCF_018967355.1,SRS15254298,SRR21728557
GCF_018967385.1,SRS15254296,SRR21728559
GCF_001028315.1,SRS887122,SRR1945427
GCF_001028385.1,SRS887116,SRR1945422
GCF_001028265.1,SRS887139,SRR1945428
GCF_001028325.1,SRS887117,SRR1945425
GCF_001028305.1,SRS887121,SRR1945426
GCF_001028335.1,SRS888528,SRR1946597
GCF_020166375.1,SRS15228843,SRR21700584
GCF_004328135.1,SRS4302883,SRR8501282
GCF_019880665.1,SRS15254288,SRR21728567
GCF_000878095.1,SRS837252,SRR1790310
GCF_018986475.1,SRS15254303,SRR21728552
GCF_018603845.1,SRS15228842,SRR21700585
GCF_018967185.1,SRS15254291,SRR21728564
GCF_018967265.1,SRS15254301,SRR21728554
GCF_018967165.1,SRS15254292,SRR21728563
GCF_009361735.1,SRS4827276,SRR9134254
GCF_018967145.1,SRS15254290,SRR21728565
GCF_003403155.1,SRS3496014,SRR7464619
GCF_000878055.1,SRS837251,SRR1790308
GCF_009758275.2,SRS5757345,SRR10581305
GCF_000877915.1,SRS837257,SRR1790319
GCF_001683575.1,SRS1476336,SRR3615378
GCF_020310065.1,SRS15254283,SRR21728572
GCF_003140475.2,SRS3471458,SRR7441798
GCF_003277885.1,SRS2735221,SRR6347446
GCF_003277885.1,SRS2735221,SRR6347447
GCF_003277885.1,SRS2735221,SRR6347448
GCF_003277885.1,SRS2735221,SRR6347449
GCF_003277885.1,SRS2735221,SRR6347450
GCF_003277885.1,SRS2735221,SRR6347451
GCF_003277885.1,SRS2735221,SRR8649081
GCF_003277885.1,SRS2735221,SRR8649082
GCF_003277935.1,SRS2735217,SRR6347414
GCF_003277935.1,SRS2735217,SRR6347415
GCF_003277935.1,SRS2735217,SRR6347416
GCF_003277935.1,SRS2735217,SRR6347417
GCF_003277935.1,SRS2735217,SRR6347420
GCF_003277935.1,SRS2735217,SRR6347421
GCF_003277935.1,SRS2735217,SRR6347474
GCF_003277935.1,SRS2735217,SRR6347475
GCF_003277935.1,SRS2735217,SRR6347476
GCF_003277935.1,SRS2735217,SRR6347477
GCF_003277935.1,SRS2735217,SRR6347478
GCF_003277935.1,SRS2735217,SRR6347479
GCF_003277935.1,SRS2735217,SRR6347480
GCF_003277935.1,SRS2735217,SRR6347481
GCF_003277935.1,SRS2735217,SRR6347482
GCF_003277935.1,SRS2735217,SRR6347483
GCF_013293985.1,SRS12121328,SRR18157001
GCF_023701585.2,SRS13134664,SRR19349299
GCF_003032195.1,SRS2976668,SRR6745634
GCF_016412005.1,SRS8041231,SRR13447672
GCF_002007165.1,SRS2206330,SRR5572609
GCF_002087985.1,SRS2062316,SRR5364300
GCF_003850085.1,SRS4423017,SRR8648187
GCF_002087215.1,SRS2095444,SRR5409272
GCF_000709165.2,SRS420066,SRR849550
GCF_014218685.1,ERS710895,ERR1008708
GCF_003413505.1,SRS6707777,SRR11844339
GCF_002738115.1,SRS2408973,SRR5902284
GCF_000709205.2,SRS420114,SRR849650
GCF_000709185.2,SRS420231,SRR849827
GCF_000709245.2,SRS420064,SRR849548
GCF_001652805.1,SRS1381438,SRR3346128
GCF_001652805.1,SRS1381438,SRR3346363
GCF_013141925.1,SRS9747936,SRR15415575
GCF_001939185.1,SRS1315726,SRR3195809
GCF_020443995.1,SRS8855792,SRR14419389
GCF_009896505.1,SRS4116360,SRR8292235
GCF_009896495.1,SRS4116359,SRR8292234
GCF_002027645.1,SRS1996182,SRR5278307
GCF_002027685.1,SRS1996181,SRR5278306
GCF_002027605.1,SRS1996183,SRR5278308
GCF_000576655.2,SRS19547009,SRR26841613
GCF_000478705.1,SRS686940,SRR954273
GCF_000513035.1,SRS468192,SRR15415533
GCF_000513035.1,SRS468192,SRR941218
GCF_000167895.3,SRS6087285,SRR10997231
GCF_000167895.3,SRS6087285,SRR10997246
GCF_000167895.3,SRS6087285,SRR10997248
GCF_000167895.3,SRS6087285,SRR10997261
GCF_000167895.3,SRS6087285,SRR10997314
GCF_000508685.1,SRS470507,SRR952674
